Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud
01/05/2021,13.5,19.2,7.8,0,1014.5,326,16,2
30/04/2021,13.4,17.4,9.4,0.2,1008,112,10,2
29/04/2021,14.5,19.3,9.7,9,1003.2,244,10,2
28/04/2021,16.4,20.4,12.3,0.2,1013.3,141,9,2
27/04/2021,15.2,20.4,10,0,1016,155,9,2
26/04/2021,15.7,21.3,10,5.4,1017.9,161,8,2
25/04/2021,16.6,21.3,12,2,1021.3,325,11,2
24/04/2021,13.2,15.2,11.3,2,1021.2,269,9,2
23/04/2021,12.6,13.8,11.3,2,1015.2,350,14,2
22/04/2021,13.2,14.1,12.3,25.4,1012.8,125,15,2
21/04/2021,13.9,16.2,11.7,2.5,1018,116,15,2
20/04/2021,14.6,18.4,10.8,0,1019.7,140,11,2
19/04/2021,13.8,18.4,9.1,0,1016.7,162,13,2
18/04/2021,13.4,17.8,9.1,0,1019,176,12,2
17/04/2021,13.6,17.7,9.4,0,1021.5,325,18,2
16/04/2021,13.4,17.7,9.1,0.1,1017.4,304,12,2
15/04/2021,11.3,15.3,7.4,0.6,1014.1,172,19,2
14/04/2021,11.3,15.3,7.4,0,1019.9,187,10,2
13/04/2021,11.3,15,7.7,0,1022.4,270,14,2
12/04/2021,12.4,15,9.9,0,1015.3,332,17,2
11/04/2021,12.2,14.7,9.7,3.3,1023.5,110,15,2
10/04/2021,12.8,16.2,9.5,0,1028.7,150,12,2
09/04/2021,13.5,18.3,8.7,0,1026.4,151,9,2
08/04/2021,13.5,18.3,8.7,0,1023.6,176,9,2
07/04/2021,14.4,18.5,10.4,0,1022.5,268,10,2
06/04/2021,12.9,17.7,8.1,0,1023.2,164,6,2
05/04/2021,11.4,17.5,5.4,0,1023.4,131,8,2
04/04/2021,10.2,15.1,5.4,0,1025,338,18,2
03/04/2021,9.8,11.5,8,0.2,1020.2,344,23,2
02/04/2021,12.9,16.1,9.8,15.3,1016.6,26,9,2
01/04/2021,11.7,16.1,7.3,2,1016.7,106,13,2
31/03/2021,11.7,16.1,7.3,0,1014.5,97,8,2
30/03/2021,13.4,17.7,9.1,0,1013.9,144,9,2
29/03/2021,13.6,18.5,8.7,0.1,1011.3,310,5,2
28/03/2021,13.6,18.5,8.7,0,1007.2,318,14,2
27/03/2021,11.9,14.9,8.9,0.3,1006.6,328,13,2
26/03/2021,11.8,16.5,7,14.2,1014.5,130,11,2
25/03/2021,12.1,17.2,7,0,1020.7,154,9,2
24/03/2021,12.5,17.2,7.8,0,1018.3,247,9,2
23/03/2021,10.8,17.2,4.3,0,1016.4,173,14,2
22/03/2021,10.8,17.2,4.3,0,1022.3,231,9,2
